Date,       Time    ,  Glorefs, GRratio,  PhyRds, Gloupds, Rourefs,  PhyWrs,   WDQsz, WDphase, Jrnwrts,  WDpass,  IJUcnt, IJULock
04/15/2022, 10:41:21,        0,       0,       0,       0,       0,       0,       0,       0,       0,      77,       0,       0
04/15/2022, 10:41:22,        0,       0,       0,       0,       0,       0,       0,       0,       0,      77,       0,       0
04/15/2022, 10:41:23,        0,       0,       0,       0,       0,       0,       0,       0,       0,      77,       0,       0
04/15/2022, 10:41:24,        0,       0,       0,       0,       0,       0,       0,       0,       0,      77,       0,       0
04/15/2022, 10:41:25,  1712428,       0,       0, 1712428,       3,       0,   26922,       5,       0,      77,       0,       0
04/15/2022, 10:41:26,   757972,       0,       0,  757969,       0,       0,   55029,       5,       0,      77,       0,       0
04/15/2022, 10:41:27,        0,       0,       0,       0,       1,       0,   55029,       5,       0,      77,       0,       0
04/15/2022, 10:41:28,    53515,       0,       0,   53514,       0,    1984,   57013,       8,       0,      78,       0,       0
04/15/2022, 10:41:29,   728577,       0,       0,  728577,       0,   27072,   84030,       8,       0,      78,       1,       0
04/15/2022, 10:41:30,   204624,       0,       0,  204624,       0,    7534,       0,       5,       0,      78,       0,       0
04/15/2022, 10:41:31,        0,       0,       0,       0,       0,       0,       0,       5,       0,      78,       0,       0
04/15/2022, 10:41:32,        0,       0,       0,       0,       0,       0,       0,       5,       0,      78,       0,       0
04/15/2022, 10:41:33,        0,       0,       0,       0,       0,       0,       0,       5,       0,      78,       0,       0
04/15/2022, 10:41:34,        0,       0,       0,       0,       0,       0,       0,       5,       0,      78,       0,       0
04/15/2022, 10:41:35,        0,       0,       0,       0,       1,       0,       0,       5,       0,      78,       0,       0
04/15/2022, 10:41:36,   568136,       0,       0,  568133,       0,   21120,   21073,       8,       0,      79,       0,       0
04/15/2022, 10:41:37,   721413,       0,      15,  721372,     227,   26752,   47823,       8,       0,      79,       1,       0
04/15/2022, 10:41:38,   712341,       0,       1,  712341,       0,   26432,   74240,       8,       0,      79,       0,       0
04/15/2022, 10:41:40,   468640,       0,       0,  468639,       0,   17315,       0,       5,       0,      79,       0,       0
04/15/2022, 10:41:41,        0,       0,       0,       0,       0,       0,       0,       5,       0,      79,       0,       0
04/15/2022, 10:41:42,        0,       0,       0,       0,       0,       0,       0,       5,       0,      79,       0,       0
04/15/2022, 10:41:43,        0,       0,       0,       0,       0,       0,       0,       5,       0,      79,       0,       0
04/15/2022, 10:41:44,        0,       0,       0,       0,       0,       0,       0,       5,       0,      79,       0,       0
04/15/2022, 10:41:45,        0,       0,       0,       0,       0,       0,       0,       5,       0,      79,       0,       0
04/15/2022, 10:41:46,        4,       0,       2,       0,       3,       0,       0,       5,       0,      79,       0,       0
04/15/2022, 10:41:47,   672302,       0,       2,  672299,       0,   24963,   24934,       8,       0,      80,       1,       0
04/15/2022, 10:41:48,   719753,       0,       1,  719753,       1,   26688,   51627,       8,       0,      80,       0,       0
04/15/2022, 10:41:49,   731062,       0,       0,  731062,       0,   27200,   78736,       8,       0,      80,       0,       0
04/15/2022, 10:41:50,   347413,       0,       0,  347413,       0,   12768,       0,       5,       0,      80,       0,       0
04/15/2022, 10:41:51,        1,       0,       0,       0,       0,       0,       0,       5,       0,      80,       0,       0
04/15/2022, 10:41:52,        0,       0,       0,       0,       0,       0,       0,       5,       0,      80,       0,       0
04/15/2022, 10:41:53,        0,       0,       0,       0,       0,       0,       0,       5,       0,      80,       0,       0
04/15/2022, 10:41:54,        0,       0,       0,       0,       0,       0,       0,       5,       0,      80,       0,       0
04/15/2022, 10:41:55,        0,       0,       0,       0,       0,       0,       0,       5,       0,      80,       0,       0
04/15/2022, 10:41:56,   220752,       0,       1,  220752,       1,    8256,    8192,       8,       0,      81,       0,       0
04/15/2022, 10:41:57,   216140,       0,       2,  216137,       0,   26560,   16207,       8,       0,      81,       0,       0
04/15/2022, 10:41:58,        0,       0,       0,       0,       0,   26816,   16207,       8,       0,      81,       0,       0
04/15/2022, 10:41:59,        0,       0,       0,       0,       0,   26688,   16207,       8,       0,      81,       0,       0
04/15/2022, 10:42:00,        0,       0,       0,       0,       0,    3299,   16207,       0,       0,      81,       0,       0
04/15/2022, 10:42:01,       25,       0,       7,      10,      20,       0,   16209,       0,       0,      81,       0,       0
04/15/2022, 10:42:02,        1,       0,       0,       0,       0,       0,   16209,       0,       0,      81,       0,       0
04/15/2022, 10:42:03,        0,       0,       0,       0,       0,       0,   16209,       0,       0,      81,       0,       0
04/15/2022, 10:42:04,        0,       0,       0,       0,       0,       0,   16209,       0,       0,      81,       0,       0